CBW4	56.966758	-130.249314	CBW4
CBW8	44.277500	-79.361583	CBW8
CBX2	58.834722	-121.392778	CBX2
CBX3	51.950000	-124.883333	CBX3
CBX5	61.956647	-128.202558	CBX5
CBX7	55.027347	-120.931000	CBX7
CBZ9	54.013333	-124.768333	CBZ9
CCA3	46.443294	-62.591292	CCA3
CCA5	51.824444	-102.376389	CCA5
CCA7	45.466667	-64.816667	CCA7
CCB2	55.688744	-103.610711	CCB2
CCB6	44.677778	-65.604722	CCB6
CCC2	47.137061	-55.329153	CCC2
CCC3	50.031944	-96.732778	CCC3
CCD2	49.478889	-56.178056	CCD2
CCD3	46.152669	-67.547664	CCD3
CCD4	54.910211	-59.785150	CCD4
CCE3	46.563350	-67.168450	CCE3
CCE4	53.469861	-55.787528	CCE4
CCF3	45.472500	-62.718056	CCF3
CCF4	44.710000	-63.301667	CCF4
CCF6	53.819722	-113.760833	CCF6
CCF7	49.396464	-101.824953	CCF7
CCF9	45.960278	-67.095278	CCF9
CCG3	46.037500	-66.858889	CCG3
CCG4	46.153889	-64.768611	CCG4
CCG5	42.951050	-79.824900	CCG5
CCH4	52.765719	-56.112583	CCH4
CCI9	50.023611	-124.984167	CCI9
CCJ3	47.448247	-67.624650	CCJ3
CCK3	47.075000	-67.685000	CCK3
CCK4	52.372761	-55.674011	CCK4
CCK5	44.634583	-80.745833	CCK5
CCL2	53.768333	-105.307778	CCL2
CCL3	55.628206	-110.749689	CCL3
CCL6	51.665822	-124.144353	CCL6
CCL7	42.690833	-80.500000	CCL7
CCL9	51.438611	-107.001111	CCL9
CCM3	47.183333	-66.150000	CCM3
CCM4	50.688889	-57.331389	CCM4
CCN2	44.713414	-66.796828	CCN2
CCP2	49.056111	-55.448056	CCP2
CCP4	52.528069	-56.285200	CCP4
CCP7	55.719867	-118.039533	CCP7
CCQ3	45.419219	-63.461303	CCQ3
CCR3	46.426150	-67.627978	CCR3
CCR4	46.716667	-65.416667	CCR4
CCR9	44.346581	-80.134272	CCR9
CCS3	45.207017	-67.249681	CCS3
CCS4	46.148378	-65.905119	CCS4
CCS5	45.986389	-65.301944	CCS5
CCS6	49.666667	-125.098333	CCS6
CCT2	44.238889	-79.638889	CCT2
CCV4	47.635053	-52.980283	CCV4
CCW4	45.100556	-63.920556	CCW4
CCX3	45.566667	-67.100000	CCX3
CCY3	45.686389	-65.541944	CCY3
CCY4	45.116667	-63.700000	CCY4
CCZ2	54.179519	-58.457097	CCZ2
CCZ3	48.274664	-53.923936	CCZ3
CCZ5	45.560556	-62.594722	CCZ5
